date,ppi,material,year,month,ppi_last_month,ppi_last_year,rolling_12
1947-01-01,22.2,Construction Materials,1947,1,,,
1947-02-01,22.5,Construction Materials,1947,2,22.2,,
1947-03-01,22.9,Construction Materials,1947,3,22.5,,
1947-04-01,23.2,Construction Materials,1947,4,22.9,,
1947-05-01,23.3,Construction Materials,1947,5,23.2,,
1947-06-01,23.2,Construction Materials,1947,6,23.3,,
1947-07-01,23.4,Construction Materials,1947,7,23.2,,
1947-08-01,23.7,Construction Materials,1947,8,23.4,,
1947-09-01,24.1,Construction Materials,1947,9,23.7,,
1947-10-01,24.3,Construction Materials,1947,10,24.1,,
1947-11-01,24.6,Construction Materials,1947,11,24.3,,
1947-12-01,24.8,Construction Materials,1947,12,24.6,,23.516666666666666
1948-01-01,25.2,Construction Materials,1948,1,24.8,22.2,23.766666666666666
1948-02-01,25.3,Construction Materials,1948,2,25.2,22.5,24.0
1948-03-01,25.5,Construction Materials,1948,3,25.3,22.9,24.216666666666665
1948-04-01,25.5,Construction Materials,1948,4,25.5,23.2,24.40833333333333
1948-05-01,25.7,Construction Materials,1948,5,25.5,23.3,24.60833333333333
1948-06-01,25.8,Construction Materials,1948,6,25.7,23.2,24.825
1948-07-01,26.1,Construction Materials,1948,7,25.8,23.4,25.05
1948-08-01,26.7,Construction Materials,1948,8,26.1,23.7,25.3
1948-09-01,26.8,Construction Materials,1948,9,26.7,24.1,25.525000000000002
1948-10-01,26.7,Construction Materials,1948,10,26.8,24.3,25.724999999999998
1948-11-01,26.6,Construction Materials,1948,11,26.7,24.6,25.89166666666667
1948-12-01,26.5,Construction Materials,1948,12,26.6,24.8,26.033333333333335
1949-01-01,26.4,Construction Materials,1949,1,26.5,25.2,26.133333333333336
1949-02-01,26.2,Construction Materials,1949,2,26.4,25.3,26.208333333333332
1949-03-01,26.1,Construction Materials,1949,3,26.2,25.5,26.258333333333336
1949-04-01,25.9,Construction Materials,1949,4,26.1,25.5,26.291666666666668
1949-05-01,25.6,Construction Materials,1949,5,25.9,25.7,26.283333333333335
1949-06-01,25.4,Construction Materials,1949,6,25.6,25.8,26.25
1949-07-01,25.1,Construction Materials,1949,7,25.4,26.1,26.166666666666668
1949-08-01,25.0,Construction Materials,1949,8,25.1,26.7,26.025000000000002
1949-09-01,25.0,Construction Materials,1949,9,25.0,26.8,25.875
1949-10-01,25.1,Construction Materials,1949,10,25.0,26.7,25.741666666666664
1949-11-01,25.2,Construction Materials,1949,11,25.1,26.6,25.625
1949-12-01,25.3,Construction Materials,1949,12,25.2,26.5,25.524999999999995
1950-01-01,25.6,Construction Materials,1950,1,25.3,26.4,25.458333333333332
1950-02-01,25.8,Construction Materials,1950,2,25.6,26.2,25.425
1950-03-01,26.0,Construction Materials,1950,3,25.8,26.1,25.416666666666668
1950-04-01,26.2,Construction Materials,1950,4,26.0,25.9,25.441666666666666
1950-05-01,26.6,Construction Materials,1950,5,26.2,25.6,25.525000000000002
1950-06-01,26.9,Construction Materials,1950,6,26.6,25.4,25.650000000000002
1950-07-01,27.3,Construction Materials,1950,7,26.9,25.1,25.833333333333332
1950-08-01,28.0,Construction Materials,1950,8,27.3,25.0,26.083333333333332
1950-09-01,28.6,Construction Materials,1950,9,28.0,25.0,26.383333333333336
1950-10-01,29.0,Construction Materials,1950,10,28.6,25.1,26.708333333333332
1950-11-01,29.1,Construction Materials,1950,11,29.0,25.2,27.03333333333333
1950-12-01,29.6,Construction Materials,1950,12,29.1,25.3,27.39166666666667
1951-01-01,30.1,Construction Materials,1951,1,29.6,25.6,27.766666666666666
1951-02-01,30.2,Construction Materials,1951,2,30.1,25.8,28.133333333333336
1951-03-01,30.2,Construction Materials,1951,3,30.2,26.0,28.483333333333334
1951-04-01,30.2,Construction Materials,1951,4,30.2,26.2,28.816666666666666
1951-05-01,30.2,Construction Materials,1951,5,30.2,26.6,29.116666666666664
1951-06-01,30.0,Construction Materials,1951,6,30.2,26.9,29.375
1951-07-01,29.9,Construction Materials,1951,7,30.0,27.3,29.59166666666667
1951-08-01,29.7,Construction Materials,1951,8,29.9,28.0,29.733333333333334
